"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\typescript-algorithms\src\leetcode\hot 100\105. Construct Binary Tree from Preorder and Inorder Traversal\finalSubmission.ts", "TypeScript", 0, 0, 0, 29, 0, 6, 6, 41
"d:\typescript-algorithms\src\leetcode\hot 100\105. Construct Binary Tree from Preorder and Inorder Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 14, 7, 39
"d:\typescript-algorithms\src\leetcode\hot 100\11. Container With Most Water\finalSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 2, 19
"d:\typescript-algorithms\src\leetcode\hot 100\11. Container With Most Water\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 17
"d:\typescript-algorithms\src\leetcode\hot 100\114. Flatten Binary Tree to Linked List\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\114. Flatten Binary Tree to Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 16, 5, 44
"d:\typescript-algorithms\src\leetcode\hot 100\114. Flatten Binary Tree to Linked List\secondSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 16, 4, 43
"d:\typescript-algorithms\src\leetcode\hot 100\121. Best Time to Buy and Sell Stock\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 1, 2, 15
"d:\typescript-algorithms\src\leetcode\hot 100\121. Best Time to Buy and Sell Stock\secondSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\hot 100\124. Binary Tree Maximum Path Sum\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\124. Binary Tree Maximum Path Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 15, 6, 36
"d:\typescript-algorithms\src\leetcode\hot 100\128. Longest Consecutive Sequence\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 4, 21
"d:\typescript-algorithms\src\leetcode\hot 100\128. Longest Consecutive Sequence\secondSubmission.ts", "TypeScript", 0, 0, 0, 42, 0, 2, 11, 55
"d:\typescript-algorithms\src\leetcode\hot 100\136. Single Number\finalSubmission.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 4
"d:\typescript-algorithms\src\leetcode\hot 100\136. Single Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 2, 10
"d:\typescript-algorithms\src\leetcode\hot 100\136. Single Number\secondSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 3, 19
"d:\typescript-algorithms\src\leetcode\hot 100\139. Word Break\finalSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 2, 3, 27
"d:\typescript-algorithms\src\leetcode\hot 100\139. Word Break\firstSubmission.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 2, 36
"d:\typescript-algorithms\src\leetcode\hot 100\139. Word Break\secondSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 3, 25
"d:\typescript-algorithms\src\leetcode\hot 100\141. Linked List Cycle\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\141. Linked List Cycle\finalSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 2, 14
"d:\typescript-algorithms\src\leetcode\hot 100\141. Linked List Cycle\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 11, 4, 28
"d:\typescript-algorithms\src\leetcode\hot 100\141. Linked List Cycle\secondSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 4, 17
"d:\typescript-algorithms\src\leetcode\hot 100\142. Linked List Cycle II\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\142. Linked List Cycle II\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 11, 4, 27
"d:\typescript-algorithms\src\leetcode\hot 100\146. LRU Cache\finalSubmission.ts", "TypeScript", 0, 0, 0, 71, 0, 1, 8, 80
"d:\typescript-algorithms\src\leetcode\hot 100\146. LRU Cache\firstSubmission.ts", "TypeScript", 0, 0, 0, 34, 0, 9, 8, 51
"d:\typescript-algorithms\src\leetcode\hot 100\146. LRU Cache\secondSubmission.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 3, 32
"d:\typescript-algorithms\src\leetcode\hot 100\15. 3Sum\__test__\index.test.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 3, 10
"d:\typescript-algorithms\src\leetcode\hot 100\15. 3Sum\finalSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 5, 1, 39
"d:\typescript-algorithms\src\leetcode\hot 100\15. 3Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 2, 21
"d:\typescript-algorithms\src\leetcode\hot 100\15. 3Sum\secondSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 1, 8, 35
"d:\typescript-algorithms\src\leetcode\hot 100\152. Maximum Product Subarray\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 1, 4, 26
"d:\typescript-algorithms\src\leetcode\hot 100\155. Min Stack\firstSubmission.ts", "TypeScript", 0, 0, 0, 25, 0, 8, 6, 39
"d:\typescript-algorithms\src\leetcode\hot 100\160. Intersection of Two Linked Lists\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\160. Intersection of Two Linked Lists\finalSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 3, 19
"d:\typescript-algorithms\src\leetcode\hot 100\160. Intersection of Two Linked Lists\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 11, 3, 35
"d:\typescript-algorithms\src\leetcode\hot 100\169. Majority Element\finnalSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 2, 18
"d:\typescript-algorithms\src\leetcode\hot 100\169. Majority Element\firstSubmission.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 2, 21
"d:\typescript-algorithms\src\leetcode\hot 100\169. Majority Element\secondSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 1, 2, 25
"d:\typescript-algorithms\src\leetcode\hot 100\17. Letter Combinations of a Phone Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 2, 32
"d:\typescript-algorithms\src\leetcode\hot 100\19. Remove Nth Node From End of List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\19. Remove Nth Node From End of List\__test__\index.test.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 2, 11
"d:\typescript-algorithms\src\leetcode\hot 100\19. Remove Nth Node From End of List\firstSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 11, 4, 43
"d:\typescript-algorithms\src\leetcode\hot 100\198. House Robber\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 1, 2, 13
"d:\typescript-algorithms\src\leetcode\hot 100\2. Add Two Numbers\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\2. Add Two Numbers\firstSubmisstion.ts", "TypeScript", 0, 0, 0, 63, 0, 14, 6, 83
"d:\typescript-algorithms\src\leetcode\hot 100\20. Valid Parentheses\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 2, 22
"d:\typescript-algorithms\src\leetcode\hot 100\200. Number of Islands\finalSubmission.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 9, 79
"d:\typescript-algorithms\src\leetcode\hot 100\200. Number of Islands\firstSubmission.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 5, 47
"d:\typescript-algorithms\src\leetcode\hot 100\206. Reverse Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\206. Reverse Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 11, 3, 26
"d:\typescript-algorithms\src\leetcode\hot 100\207. Course Schedule\firstSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 2, 35
"d:\typescript-algorithms\src\leetcode\hot 100\208. Implement Trie (Prefix Tree)\firstSubmission.ts", "TypeScript", 0, 0, 0, 37, 0, 7, 7, 51
"d:\typescript-algorithms\src\leetcode\hot 100\21. Merge Two Sorted Lists\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\21. Merge Two Sorted Lists\firstSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 11, 5, 38
"d:\typescript-algorithms\src\leetcode\hot 100\215. Kth Largest Element in an Array\__test__\index.test.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\215. Kth Largest Element in an Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 8, 76
"d:\typescript-algorithms\src\leetcode\hot 100\22. Generate Parentheses\firstSubmission.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 2, 31
"d:\typescript-algorithms\src\leetcode\hot 100\221. Maximal Square\firstSubmission.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 5, 36
"d:\typescript-algorithms\src\leetcode\hot 100\226. Invert Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\226. Invert Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 19, 0, 13, 4, 36
"d:\typescript-algorithms\src\leetcode\hot 100\226. Invert Binary Tree\secondSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 13, 4, 34
"d:\typescript-algorithms\src\leetcode\hot 100\234. Palindrome Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\hot 100\234. Palindrome Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 11, 5, 49
"d:\typescript-algorithms\src\leetcode\hot 100\236. Lowest Common Ancestor of a Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\hot 100\236. Lowest Common Ancestor of a Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 35, 0, 13, 4, 52
"d:\typescript-algorithms\src\leetcode\hot 100\238. Product of Array Except Self\finalSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 3, 17
